close,high,low,open,symbol,volume,id,key,subkey,date,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
11.29,11.52,10.88,11.49,F,118954503,HISTORICAL_PRICES,F,,2021-01-25,1637201877000,0,0,11.49,11.29,11.52,10.88,118954503,11.4324,11.2334,11.4623,10.8255,118954503,"Jan 25, 21",0,0
11.19,11.53,11.12,11.31,F,66267456,HISTORICAL_PRICES,F,,2021-01-26,1637201813000,-0.008857395925597844,-0.008857395925597844,11.31,11.19,11.53,11.12,66267456,11.2533,11.1339,11.4722,11.0643,66267456,"Jan 26, 21",-0.09999999999999964,-0.0089
10.79,11.17,10.7,11.02,F,82863034,HISTORICAL_PRICES,F,,2021-01-27,1637202159000,-0.04428697962798937,-0.04428697962798937,11.02,10.79,11.17,10.7,82863034,10.9648,10.7359,11.114,10.6464,82863034,"Jan 27, 21",-0.40000000000000036,-0.0357
10.72,11.05,10.71,10.84,F,77388655,HISTORICAL_PRICES,F,,2021-01-28,1637201794000,-0.05048715677590775,-0.05048715677590775,10.84,10.72,11.05,10.71,77388655,10.7857,10.6663,10.9946,10.6563,77388655,"Jan 28, 21",-0.06999999999999851,-0.0065
10.53,10.835,10.45,10.59,F,73925821,HISTORICAL_PRICES,F,,2021-01-29,1637201856000,-0.06731620903454383,-0.06731620903454383,10.59,10.53,10.835,10.45,73925821,10.5369,10.4772,10.7807,10.3976,73925821,"Jan 29, 21",-0.19000000000000128,-0.0177
10.83,11.44,10.36,10.65,F,157114400,HISTORICAL_PRICES,F,,2021-02-01,1637201824000,-0.040744021257750146,-0.040744021257750146,10.65,10.83,11.44,10.36,157114400,10.5966,10.7757,11.3827,10.3081,157114400,"Feb 1, 21",0.3000000000000007,0.0285
10.86,11.2,10.71,11.14,F,80440704,HISTORICAL_PRICES,F,,2021-02-02,1637201813000,-0.03808680248007084,-0.03808680248007084,11.14,10.86,11.2,10.71,80440704,11.0842,10.8056,11.1439,10.6563,80440704,"Feb 2, 21",0.02999999999999936,0.0028
11.2,11.36,10.84,10.92,F,82968550,HISTORICAL_PRICES,F,,2021-02-03,1637201928000,-0.007971656333038075,-0.007971656333038075,10.92,11.2,11.36,10.84,82968550,10.8653,11.1439,11.3031,10.7857,82968550,"Feb 3, 21",0.33999999999999986,0.0313
11.37,11.6192,11.17,11.4,F,106845045,HISTORICAL_PRICES,F,,2021-02-04,1637202219000,0.0070859167404783065,0.0070859167404783065,11.4,11.37,11.6192,11.17,106845045,11.3429,11.313,11.561,11.114,106845045,"Feb 4, 21",0.16999999999999993,0.0152
11.51,11.9,11.3,11.8,F,113402102,HISTORICAL_PRICES,F,,2021-02-05,1637201832000,0.01948627103631538,0.01948627103631538,11.8,11.51,11.9,11.3,113402102,11.7409,11.4523,11.8404,11.2434,113402102,"Feb 5, 21",0.14000000000000057,0.0123
11.56,11.58,11.31,11.52,F,75756688,HISTORICAL_PRICES,F,,2021-02-08,1637201908000,0.023914968999114383,0.023914968999114383,11.52,11.56,11.58,11.31,75756688,11.4623,11.5021,11.522,11.2533,75756688,"Feb 8, 21",0.05000000000000071,0.0043
11.93,12.04,11.49,11.54,F,102250761,HISTORICAL_PRICES,F,,2021-02-09,1637201940000,0.05668733392382645,0.05668733392382645,11.54,11.93,12.04,11.49,102250761,11.4822,11.8702,11.9797,11.4324,102250761,"Feb 9, 21",0.3699999999999992,0.032
11.76,12.02,11.53,12,F,76282462,HISTORICAL_PRICES,F,,2021-02-10,1637201847000,0.04162976085031007,0.04162976085031007,12,11.76,12.02,11.53,76282462,11.9399,11.7011,11.9598,11.4722,76282462,"Feb 10, 21",-0.16999999999999993,-0.0142
11.45,11.74,11.31,11.66,F,55762914,HISTORICAL_PRICES,F,,2021-02-11,1637201824000,0.014171833480956613,0.014171833480956613,11.66,11.45,11.74,11.31,55762914,11.6016,11.3926,11.6812,11.2533,55762914,"Feb 11, 21",-0.3100000000000005,-0.0264
11.45,11.62,11.37,11.42,F,44401187,HISTORICAL_PRICES,F,,2021-02-12,1637202121000,0.014171833480956613,0.014171833480956613,11.42,11.45,11.62,11.37,44401187,11.3628,11.3926,11.5618,11.313,44401187,"Feb 12, 21",0,0
11.54,11.7,11.38,11.5,F,48392080,HISTORICAL_PRICES,F,,2021-02-16,1637201973000,0.022143489813994686,0.022143489813994686,11.5,11.54,11.7,11.38,48392080,11.4424,11.4822,11.6414,11.323,48392080,"Feb 16, 21",0.08999999999999986,0.0079
11.48,11.61,11.37,11.61,F,49680999,HISTORICAL_PRICES,F,,2021-02-17,1637201934000,0.016829052258636075,0.016829052258636075,11.61,11.48,11.61,11.37,49680999,11.5518,11.4225,11.5518,11.313,49680999,"Feb 17, 21",-0.05999999999999872,-0.0052
11.43,11.48,11.3,11.37,F,37777050,HISTORICAL_PRICES,F,,2021-02-18,1637201794000,0.012400354295837076,0.012400354295837076,11.37,11.43,11.48,11.3,37777050,11.313,11.3727,11.4225,11.2434,37777050,"Feb 18, 21",-0.05000000000000071,-0.0044
11.58,11.59,11.46,11.52,F,48615552,HISTORICAL_PRICES,F,,2021-02-19,1637201898000,0.02568644818423392,0.02568644818423392,11.52,11.58,11.59,11.46,48615552,11.4623,11.522,11.5319,11.4026,48615552,"Feb 19, 21",0.15000000000000036,0.0131
11.7,11.94,11.5,11.52,F,62183011,HISTORICAL_PRICES,F,,2021-02-22,1637201908000,0.0363153232949513,0.0363153232949513,11.52,11.7,11.94,11.5,62183011,11.4623,11.6414,11.8802,11.4424,62183011,"Feb 22, 21",0.11999999999999922,0.0104
11.62,11.65,11.13,11.59,F,72904530,HISTORICAL_PRICES,F,,2021-02-23,1637201813000,0.029229406554472995,0.029229406554472995,11.59,11.62,11.65,11.13,72904530,11.5319,11.5618,11.5916,11.0742,72904530,"Feb 23, 21",-0.08000000000000007,-0.0068
12.27,12.4,11.64,11.67,F,95152783,HISTORICAL_PRICES,F,,2021-02-24,1637202159000,0.08680248007085921,0.08680248007085921,11.67,12.27,12.4,11.64,95152783,11.6115,12.2085,12.3379,11.5817,95152783,"Feb 24, 21",0.6500000000000004,0.0559
