"EstablishmentID","InspectionID","Ins_TypeDesc","EstablishmentName","PlaceName","Address","Address2","City","State","Zip","TypeDescription","InspectionDate","score","Grade","NameSearch","Intersection"
"114313","1647594","OTHER","PEACE OF MIND PRESCHOOL","","2119 OLD SHEPHERDSVILLE RD","","LOUISVILLE","KY","40218","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","2022-01-11 00:00:00","100","","PEACE OF MIND PRESCHOOL",""
"105354","1647595","FOLLOWUP","BEEHIVE HOMES OF SMYRNA","","8800 SMYRNA PKWY","","LOUISVILLE","KY","40228","FOOD SERVICE (HOSPITAL / NURSING HOME","2022-01-20 00:00:00","100","A","BEEHIVE HOMES OF SMYRNA",""
"94666","1647600","REGULAR","SUNNY SIDE CHILDCARE LLC","","4223 CANE RUN RD","","LOUISVILLE","KY","40216","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","2022-01-20 00:00:00","95","A","SUNNY SIDE CHILDCARE LLC",""
"107241","1647603","REGULAR","THORNTONS #98","","4136 CANE RUN RD","","LOUISVILLE","KY","40216","RETAIL-FOOD  10,000 SQ FT OR LESS","2022-01-20 00:00:00","97","A","THORNTONS #98",""
"31053","1647609","REGULAR","KINDER CARE","","8016 SHELBYVILLE RD","","LOUISVILLE","KY","40222","FOOD SERVICE (DAY CARE / CHILD CARE CENTER","2022-01-20 00:00:00","100","A","KINDER CARE",""
"106000","1647610","REGULAR","ALDI USA","","845 S HURSTBOURNE PKWY","","LOUISVILLE","KY","40222","PRE-PACKAGED RETAIL","2022-01-20 00:00:00","100","","ALDI USA",""
"101072","1647640","REGULAR","WALMART #6931","","4840 OUTER LOOP","","LOUISVILLE","KY","40219","RETAIL-FOOD  10,001 SQ FT OR OVER","2022-01-20 00:00:00","98","A","WALMART #6931",""
"97663","1647642","REGULAR","BUFFALO WILD WINGS #570","","4917 OUTER LOOP","","LOUISVILLE","KY","40219","FOOD SERVICE","2022-01-20 00:00:00","94","A","BUFFALO WILD WINGS #570",""
"114177","1647684","REGULAR","ADDIS ABABA ETHIOPIAN BAR & RESTAURANT","","4750 BARDSTOWN RD","","LOUISVILLE","KY","40218","FOOD SERVICE","2022-01-19 00:00:00","98","A","ADDIS ABABA ETHIOPIAN BAR & RESTAURANT",""
"99670","1647689","REGULAR","FIESTA TIME AMIGOS","","8123 BARDSTOWN RD","","LOUISVILLE","KY","40291","FOOD SERVICE","2022-01-19 00:00:00","98","A","FIESTA TIME AMIGOS",""
