Date_Sold,Price,Beds,Baths,Square_Feet
"10/07/2021,","$385,000,",3,3,"2,616"
"10/06/2021,","$179,000,",3,2,"1,507"
"10/06/2021,","$361,000,",4,4,"2,791"
"10/04/2021,","$611,950,",5,5,"3,618"
"10/04/2021,","$479,900,",5,4,"3,411"
"10/04/2021,","$375,000,",4,3,"2,546"
"10/04/2021,","$710,000,",5,5,"4,051"
"10/01/2021,","$161,900,",3,1,"1,612"
"10/01/2021,","$945,000,",4,4,"5,047"
"09/29/2021,","$535,000,",4,4,"3,300"
"09/29/2021,","$525,000,",5,4,"4,233"
"09/29/2021,","$450,000,",2,3,"3,104"
"09/28/2021,","$300,603,",4,3,"1,743"
"09/27/2021,","$395,000,",4,4,"3,719"
"09/27/2021,","$830,000,",5,5,"4,325"
"09/27/2021,","$125,000,",3,1,"1,018"
"09/24/2021,","$237,000,",3,2,"1,585"
"09/24/2021,","$939,795,",6,6,"4,495"
"09/23/2021,","$328,612,",3,3,"1,842"
"09/23/2021,","$340,000,",4,2,"1,320"
"09/22/2021,","$365,000,",4,3,"3,845"
"09/17/2021,","$525,000,",4,4,"4,150"
"09/17/2021,","$240,000,",3,2,"1,490"
"09/16/2021,","$368,624,",4,3,"2,468"
"09/16/2021,","$470,000,",4,3,"3,358"
"09/16/2021,","$450,000,",5,4,"4,062"
"09/15/2021,","$363,146,",4,3,"2,563"
"09/13/2021,","$370,000,",3,2,"2,790"
"09/13/2021,","$445,000,",4,3,"3,540"
"09/13/2021,","$595,000,",3,3,"2,287"
"09/10/2021,","$406,750,",4,3,"3,550"
"09/09/2021,","$289,670,",2,2,"1,414"
"09/09/2021,","$419,548,",3,3,"2,293"
"09/09/2021,","$690,000,",5,5,"6,118"
"09/09/2021,","$285,000,",3,2.5,"1,547"
"09/08/2021,","$380,000,",4,3,"2,040"
"09/08/2021,","$594,900,",5,4,"4,477"
"09/08/2021,","$298,000,",3,2,"1,631"
"09/03/2021,","$562,000,",5,4,"4,067"
"09/03/2021,","$839,000,",4,4,"3,164"
"09/03/2021,","$601,144,",4,3,"3,557"
"09/03/2021,","$570,000,",5,5,"5,232"
"09/02/2021,","$176,000,",3,2,"1,053"
"09/01/2021,","$375,000,",2,2,"1,883"
"09/01/2021,","$390,000,",4,5,"3,577"
"08/31/2021,","$350,000,",4,3,"2,332"
"08/31/2021,","$700,000,",4,4,"4,263"
"08/30/2021,","$285,000,",4,2,"1,900"
"08/27/2021,","$565,000,",4,3,"2,701"
"08/27/2021,","$175,000,",2,1,735
"08/26/2021,","$380,000,",3,3,"2,622"
"08/26/2021,","$785,000,",5,4,"4,319"
"08/25/2021,","$350,000,",4,4,"3,400"
"08/25/2021,","$310,000,",2,3,"2,030"
"08/25/2021,","$369,500,",4,3,"2,560"
"08/24/2021,","$470,000,",4,3,"2,740"
"08/23/2021,","$286,912,",3,2,"1,418"
"08/23/2021,","$161,000,",2,2,"1,301"
"08/23/2021,","$295,000,",3,2,"2,000"
"08/23/2021,","$455,575,",3,2,"2,079"
"08/20/2021,","$517,872,",3,3,"2,522"
"08/20/2021,","$575,000,",4,5,"6,077"
"08/20/2021,","$639,000,",4,4,"4,648"
"08/20/2021,","$179,900,",2,2,"1,325"
"08/20/2021,","$572,000,",4,4,"5,128"
"08/20/2021,","$320,000,",2,3,"2,030"
"08/20/2021,","$589,500,",6,4,"4,376"
"08/18/2021,","$450,000,",3,2.5,"1,800"
"08/18/2021,","$1.40M,",4,5,"4,286"
"08/18/2021,","$478,000,",4,4,"3,077"
"08/16/2021,","$385,000,",4,3,"2,340"
"08/13/2021,","$415,000,",3,3,"2,458"
"08/12/2021,","$185,000,",3,2,"1,507"
"08/12/2021,","$480,000,",5,5,"4,158"
"08/09/2021,","$385,000,",4,4,"3,566"
"08/09/2021,","$377,000,",4,4,"2,900"
"08/09/2021,","$590,000,",4,4,"3,801"
"08/06/2021,","$255,000,",3,1,"1,456"
"08/05/2021,","$270,000,",4,2.5,"3,100"
"08/04/2021,","$510,000,",5,3,"3,446"
"08/03/2021,","$540,000,",5,3,"4,058"
